StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.8337228078547,7,1,2,0,0,1,0,2.92919559166768,2
1002,18,0,0,1,15.4087560558467,0,0,1,0,0,0,0,3.04291483343638,1
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.112602254466182,4
1004,17,1,0,3,10.0288294739582,14,0,3,1,0,0,0,2.05421813970295,3
1005,17,1,0,2,"""4.67249527297133""",17,1,3,0,0,0,0,1.28806118179539,4
1006,18,0,0,1,8.19121854525019,0,0,1,1,0,0,0,3.08418361448639,1
1007,15,0,1,1,15.6016804746993,10,0,3,0,1,0,0,2.74823?,2
1008,15,1,1,4,15.4244963058081,22,1,1,1,0,0,0,1.36014271231646,4
1009,17,0,0,0,4.5620075580477,1,0,2,na,1,0,1,2.89681918951357,2
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.57347421032977,0
1011,17,0,0,1,"""11.8513636552965""",11,0,1,0,999,0,0,2.14717162501851,3
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.55959451904028,4
1013,17,0,1,1,10.0387116156172,21,0,3,1,0,0,0,1.52007781487481,4
1014,17,0,1,2,12.1014250687549,21,0,4,0,1,0,0,"""1.75158095833408""",4
1015,18,1,0,1,11.1978106369157,9,1,2,0,0,0,0,2.3967881171248,3
1016,15,0,0,2,9.72810071072356,17,1,0,0,1,0,0,1.34152071653467,4
1017,18,0,3,1,10.098656081788,14,0,2,Nan,1,0,0,2.23217527771598,3
1018,18,1,0,0,3.52823820855772,16,1,2,0,0,0,0,1.38440417569403,4
1019,18,0,1,3,16.2546580860936,29,0,2,1,0,0,1,0.46955332337987,4
1020,17,0,999,1,10.8352063988203,9,0,2,0,0,1,0,2.3957840945307,3
1021,16,1,0,3,2.62159723409406,2,0,3,0,0,0,1,2.77841129992065,2
1022,15,0,,2,15.3231420316556,25,99,1,1,0,0,0,0.346894036705015,4
1023,16,1,,0,18.648879567547,29,1,1,0,0,0,0,0.312546230525355,4
1024,18,1,,4,"""18.9461379847392""",20,0,2,1,0,0,0,1.77013187677997,4
1025,18,1,,1,7.38035464822346,15,0,2,0,0,0,0,"""1.50515562203629""",4
1026,16,1,,3,2.71033747121508,5,0,4,,0,1,0,2.97785191831574,2
1027,16,0,,1,10.3679925326613,2,0,2,,1,0,0,2.94871767191192,2
1028,16,1,0,3,2.25218458698441,8,0,3,,0,1,0,2.14520472046719,3
1029,18,0,0,0,,10,0,3,,0,0,0,2.85480392898132,2
1030,18,0,0,2,,20,0,3,,0,0,0,1.51944172581514,4
1031,15,0,2,2,,12,1,0,,1,0,0,1.72712030952241,4
1031,15,0,2,2,,12,1,0,,1,0,0,1.72712030952241,4
1032,15,0,0,3,,17,0,4,,0,0,1,1.84753547113879,4
1033,18,0,0,3,7.66328937118252,25,0,1,,1,0,0,0.384616972856488,4
1034,16,0,3,3,15.8932578479578,21,0,0,,1,0,0,"""0.94940609779728""",4
1035,16,0,0,3,9.12633641101925,27,1,2,1,1,0,0,1.14095941842034,4
1036,15,0,3,1,3.41536520006674,23,0,1,0,0,0,0,0.261472260050752,4
1037,18,0,0,1,5.34419790972148,26,1,1,0,0,0,0,0.218284856821032,4
1038,15,0,2,1,10.1822677037504,21,1,1,0,1,0,0,1.06776355104198,4
1039,15,1,1,1,2.9490783485227,3,1,1,1,1,0,0,3.01890585842797,1
1040,17,1,2,1,12.2331135129203,21,1,3,1,1,0,0,1.52686783179272,4
1040,17,1,2,1,12.2331135129203,21,1,3,1,1,0,0,1.52686783179272,4
1041,17,1,3,2,11.3149461310229,23,1,1,0,0,0,0,1.05828739968986,4
1042,17,0,0,1,14.2940463276452,7,0,NaN,0,0,0,0,2.62512809773223,2
1043,16,1,3,2,18.7540923075874,12,1,4,0,0,0,0,2.80875482202865,2
1044,18,1,0,1,18.2450912220231,9,0,2,0,1,0,0,2.88889166927244,2
1045,18,1,0,1,18.9215123613766,1,1,3,1,1,0,0,4,0
1046,18,0,0,2,4.89431194047402,7,0,4,0,0,1,0,2.51530027225625,2
1047,18,0,1,2,2.63130613278709,5,0,1,1,0,0,0,2.56376543001509,2
1048,17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,1.70361180323237,4
1049,16,0,1,2,17.9017034553263,17,0,3,0,0,1,0,2.09988515672059,3
1050,16,1,1,1,19.4410694924698,16,0,4,1,0,0,0,2.4610469629081,3
1051,17,1,2,2,17.1864990214095,5,0,3,0,0,0,0,2.93547719169463,2
1052,16,1,2,0,2.20035442255087,12,1,1,1,0,1,0,1.98637805921875,4
